spec,site,maxl
56,Jowell Farm,12.53
63,Jowell Farm,12.765
66,Jowell Farm,12.601
70,Jowell Farm,13.813
72,Jowell Farm,12.732
74,Jowell Farm,12.736
75,Jowell Farm,11.682
76,Jowell Farm,11.05
78,Jowell Farm,10.166
79,Jowell Farm,10.075
80,Jowell Farm,10.631
millsap1,Millsap Cache,27.984
millsap2,Millsap Cache,25.094
millsap3,Millsap Cache,22.911
millsap4,Millsap Cache,23.828
millsap5,Millsap Cache,22.628
millsap6,Millsap Cache,21.857
millsap7,Millsap Cache,19.854
millsap8,Millsap Cache,19.808
millsap9,Millsap Cache,19.881
millsap10,Millsap Cache,19.753
millsap11,Millsap Cache,19.578
millsap12,Millsap Cache,17.792
millsap13,Millsap Cache,17.99
millsap14,Millsap Cache,17.268
millsap15,Millsap Cache,19.174
millsap16,Millsap Cache,17.036
millsap17,Millsap Cache,18.189
millsap18,Millsap Cache,19.136
millsap19,Millsap Cache,17.845
