"","spec","merged","site","maxl","size"
"1","millsap1","Millsap Cache_L","Millsap Cache",27.984,"L"
"2","millsap2","Millsap Cache_L","Millsap Cache",25.094,"L"
"3","millsap3","Millsap Cache_L","Millsap Cache",22.911,"L"
"4","millsap4","Millsap Cache_L","Millsap Cache",23.828,"L"
"5","millsap5","Millsap Cache_L","Millsap Cache",22.628,"L"
"6","millsap6","Millsap Cache_L","Millsap Cache",21.857,"L"
"7","millsap7","Millsap Cache_S","Millsap Cache",19.854,"S"
"8","millsap8","Millsap Cache_S","Millsap Cache",19.808,"S"
"9","millsap9","Millsap Cache_S","Millsap Cache",19.881,"S"
"10","millsap10","Millsap Cache_S","Millsap Cache",19.753,"S"
"11","millsap11","Millsap Cache_S","Millsap Cache",19.578,"S"
"12","millsap12","Millsap Cache_S","Millsap Cache",17.792,"S"
"13","millsap13","Millsap Cache_S","Millsap Cache",17.99,"S"
"14","millsap14","Millsap Cache_S","Millsap Cache",17.268,"S"
"15","millsap15","Millsap Cache_S","Millsap Cache",19.174,"S"
"16","millsap16","Millsap Cache_S","Millsap Cache",17.036,"S"
"17","millsap17","Millsap Cache_S","Millsap Cache",18.189,"S"
"18","millsap18","Millsap Cache_S","Millsap Cache",19.136,"S"
"19","millsap19","Millsap Cache_S","Millsap Cache",17.845,"S"
"20","56","Jowell Farm_L","Jowell Farm",12.53,"L"
"21","63","Jowell Farm_L","Jowell Farm",12.765,"L"
"22","66","Jowell Farm_L","Jowell Farm",12.601,"L"
"23","70","Jowell Farm_L","Jowell Farm",13.813,"L"
"24","72","Jowell Farm_L","Jowell Farm",12.732,"L"
"25","74","Jowell Farm_L","Jowell Farm",12.736,"L"
"26","75","Jowell Farm_S","Jowell Farm",11.682,"S"
"27","76","Jowell Farm_S","Jowell Farm",11.05,"S"
"28","78","Jowell Farm_S","Jowell Farm",10.166,"S"
"29","79","Jowell Farm_S","Jowell Farm",10.075,"S"
"30","80","Jowell Farm_S","Jowell Farm",10.631,"S"
