spec,site,length,width,thickness
261-02,HS261,129.1,12.04,5.93
261-03,HS261,89.21,11.75,5.79
261-04,HS261,110.52,10.8,5.18
261-05,HS261,119.96,14.3,5.99
261-06,HS261,96.31,10.16,3.84
261-07,HS261,105.7,12.48,5.1
261-09,HS261,125.47,14.25,5.57
261-10,HS261,106.47,10.6,4.28
261-11,HS261,113.25,14.43,7.07
261-12,HS261,99.93,12.32,6.06
261-13,HS261,120.4,12.27,5.08
261-14,HS261,102.03,14.3,4.81
261-15,HS261,105.75,13.73,5.73
261-16,HS261,112.59,13.82,5.48
261-17,HS261,138.4,14.63,7.2
261-18,HS261,122.14,13.54,5.32
261-19,HS261,111.4,13.66,4.33
261-21,HS261,119.37,13.41,4.99
261-22,HS261,104.23,13.65,5.21
261-23,HS261,125.15,13.7,5.3
261-24,HS261,118.61,12.85,5.12
261-25,HS261,125.57,13.08,5.61
261-26,HS261,114.27,13.3,4.65
261-27,HS261,126.46,13.9,5.75
56,AN13,128.5,13,4.7
63,AN13,127,14.1,4.9
66,AN13,127,15,3.7
70,AN13,136.9,13.6,3.4
72,AN13,127.8,13.3,4.1
74,AN13,124,14,4.4
75,AN13,118,13.2,4.6
76,AN13,111.2,14.4,3.6
78,AN13,103,12.5,4.3
79,AN13,99.8,10.9,3.7
80,AN13,108.8,11,3.6
