spec,merged,site,length,width,thickness,csz,size
261-02,HS261_L,HS261,129.1,12.04,5.93,37.87504553,L
261-03,HS261_S,HS261,89.21,11.75,5.79,26.66823156,S
261-04,HS261_S,HS261,110.52,10.8,5.18,32.93083273,S
261-05,HS261_L,HS261,119.96,14.3,5.99,36.07170296,L
261-06,HS261_S,HS261,96.31,10.16,3.84,28.37018628,S
261-07,HS261_S,HS261,105.7,12.48,5.1,31.66739215,S
261-09,HS261_L,HS261,125.47,14.25,5.57,37.51422016,L
261-10,HS261_S,HS261,106.47,10.6,4.28,31.29928487,S
261-11,HS261_S,HS261,113.25,14.43,7.07,33.62397278,S
261-12,HS261_S,HS261,99.93,12.32,6.06,29.65922838,S
261-13,HS261_L,HS261,120.4,12.27,5.08,36.15256829,L
261-14,HS261_S,HS261,102.03,14.3,4.81,30.57099961,S
261-15,HS261_S,HS261,105.75,13.73,5.73,31.53714321,S
261-16,HS261_S,HS261,112.59,13.82,5.48,33.32195739,S
261-17,HS261_L,HS261,138.4,14.63,7.2,41.19858601,L
261-18,HS261_L,HS261,122.14,13.54,5.32,36.61014597,L
261-19,HS261_S,HS261,111.4,13.66,4.33,33.41232214,S
261-21,HS261_L,HS261,119.37,13.41,4.99,35.77033253,L
261-22,HS261_S,HS261,104.23,13.65,5.21,31.41539433,S
261-23,HS261_L,HS261,125.15,13.7,5.3,37.43265918,L
261-24,HS261_L,HS261,118.61,12.85,5.12,35.25993193,L
261-25,HS261_L,HS261,125.57,13.08,5.61,36.81003135,L
261-26,HS261_S,HS261,114.27,13.3,4.65,33.65402596,S
261-27,HS261_L,HS261,126.46,13.9,5.75,37.20548733,L
56,AN13_L,AN13,128.5,13,4.7,38.95312538,L
63,AN13_L,AN13,127,14.1,4.9,38.0733907,L
66,AN13_L,AN13,127,15,3.7,38.30668341,L
70,AN13_L,AN13,136.9,13.6,3.4,40.6967617,L
72,AN13_L,AN13,127.8,13.3,4.1,38.74062208,L
74,AN13_L,AN13,124,14,4.4,37.55763714,L
75,AN13_S,AN13,118,13.2,4.6,35.76962246,S
76,AN13_S,AN13,111.2,14.4,3.6,33.79369058,S
78,AN13_S,AN13,103,12.5,4.3,31.36053155,S
79,AN13_S,AN13,99.8,10.9,3.7,29.78703596,S
80,AN13_S,AN13,108.8,11,3.6,32.46625709,S
